category,text
default nudge,"وجودك يا name يسعدنا، وحرصك على الحضور يعني لنا الكثير."
default nudge,"موعدك يا name محجوز خصيصًا لك، شكرًا لالتزامك."
default nudge,"يا name، نحن بانتظارك في الوقت المحدد، شكرًا على تعاونك."
default nudge,"يا name، وقتك ثمين، ونحن حجزنا لك هذا الوقت المميز."
default nudge,"يا name، الطبيب خصص هذا الموعد لك فقط، نراك قريبًا."
default nudge,حضورك يا name في الموعد يعكس التزامك وتميّزك.
default nudge,"يا name، المواعيد القادمة قد تتأخر قليلاً، لذلك حضورك اليوم يوفر عليك وقت الانتظار."
default nudge,"يا name، غالب عملائنا يحضرون مواعيدهم في الوقت المحدد، كن واحدًا منهم اليوم."
default nudge,"يا name، كن جزءًا من مجتمعنا الجدير بالثقة، نراك في الموعد."
default nudge,التزامك يا name يساعدنا على خدمتك وخدمة الآخرين بشكل أفضل.
default nudge,"يا name، إعادة الحجز قد تستغرق عدة أسابيع، حافظ على موعدك اليوم لتوفير وقتك."
default nudge,"الموعد يا name القادم قد يتأخر، حضورك اليوم يوفر عليك الانتظار لاحقًا."
default nudge,"يا name، الحفاظ على موعدك يعني خدمة أسرع في المستقبل."
default nudge,"يا name، نأمل أن يكون موعدك مناسبًا لك، يسعدنا حضورك."
default nudge,"نذكّرك يا name بموعدك القادم، نتطلع لرؤيتك."
default nudge,"يا name، وقتك ثمين، ونحرص على أن تستفيد منه بأفضل شكل ممكن."
default nudge,حضورك يا name في الموعد يساعدنا على خدمتك وخدمة الآخرين بكفاءة.
default nudge,التزامك يا name بالمواعيد يجعل تجربتك معنا أسرع وأسهل.
default nudge,"نذكّرك يا name بموعدك المسجّل لدينا، وننتظرك بكل سرور."
default nudge,"الموعد يا name القادم قريب، لا تنسَ أن حضورك يساعد الجميع."
default nudge,"موعدك يا name يقترب، نتمنى حضورك في الوقت المحدد."
default nudge,"يا name، حافظ على موعدك لتستفيد من الخدمة في وقتها المحدد."
default nudge,حضورك يا name في الوقت المحدد يجعل يومك أسهل وأسرع.
default nudge,"نتمنى يا name لك يوماً رائعاً، لا تنسَ موعدك معنا."
default nudge,حضورك يا name في الموعد يسهم في تحسين جودة الخدمة للجميع.
default nudge,"يا name، الوقت الذي خصصته لنفسك لا يُعوّض، احرص عليه."
default nudge,"يا name، نحن هنا لخدمتك، ووجودك يجعل الخدمة أفضل."
default nudge,"يا name، يومك سيكون أكثر سلاسة إذا بدأت بالالتزام."
default nudge,حضورك يا name يختصر وقت الانتظار ويزيد راحتك.
default nudge,"نتمنى يا name لك يومًا رائعًا، ولا تنسَ موعدك معنا."
default nudge,"يا name، وقتك ثمين، ونحن نعتز بثقتك فينا."
default nudge,حضورك يا name في الوقت المحدد يعكس وعيك واهتمامك بنفسك.
default nudge,"يا name، دقيقتان من الالتزام تصنع فرقًا كبيرًا في يومك."
default nudge,"يا name، كل دقيقة من وقتك لها قيمة، ونحن نعرف ذلك."
default nudge,حضورك يا name المستمر يجعلنا نطور خدمتنا لأجلك.
default nudge,"يا name، تأجيل الموعد قد يطيل الطريق، فاحضر اليوم."
default nudge,حضورك يا name المنتظم يمنحك الأولوية في مواعيدنا القادمة.
default nudge,"يا name، كل حضور يمنحك حرية أكبر في اختيار الأوقات المميزة لاحقًا."
default nudge,"يا name، الحضور اليومي يجعلك أقرب لمواعيد الحجز الأكثر طلبًا."
default nudge,"يا name، التزم اليوم لتبقى ضمن فئة العملاء الذين يتم فتح المواعيد لهم أولًا"
default nudge,"يا name، احرص على موعدك اليوم، فكل غياب يؤخر فتح المواعيد المستقبلية في حسابك."
default nudge,"يا name، تذكّر التزامك اليوم يعني حجزًا أسهل غدًا."
default nudge,"يا name، لأنك تهتم بوقتك، نحن نهتم بمكافأتك عليه."
default nudge,"يا name، كلما التزمت بمواعيدك، زادت فرصك في الحصول على خدمات مميزة."
default nudge,"يا name، العملاء الملتزمون يستمتعون بمزيد من المرونة في الحجز، كن أحدهم."
default nudge,التزامك يا name بمواعيدك يمنحك أولوية الحجز مستقبلاً.
default nudge,"يا name، كل موعد تحضره يُضاف لرصيدك في نظام المكافآت."
default nudge,نذكّرك يا name بأن الغياب قد يؤخر ظهور المواعيد الأنسب لك.
default nudge,نذكّرك يا name أن كل التزام يزيد فرصك في المواعيد المناسبة لك.
default nudge,كل حضور منك يا name يرفع مستوى خدمتك في النظام.
default nudge,"التزامك يا name اليوم، هو استثمار في راحتك لاحقًا."
default nudge,"يا name، حافظ على التزامك لتحافظ على أولوية الحجز الخاصة بك."
default nudge,"يا name، حضورك اليوم يحافظ على أولوية الحجز الخاصة بك."
positive nudge,شكراً يا name لك على كونك من عملائنا الجديرين بالثقة.
positive nudge,"يا name، نحن فخورون بعملائنا الملتزمين، وأنت واحد منهم."
positive nudge,"يا name، غالب عملائنا مميزين يلتزمون بالمواعيد، شكراً لانضمامك إليهم."
positive nudge,شكراً يا name لك على التزامك الدائم بمواعيدك معنا.
positive nudge,حضورك يا name المنتظم يجعلنا فخورين بخدمتك.
positive nudge,شكراً يا name لكونك مثالاً في الالتزام والانضباط.
positive nudge,وجودك يا name المنتظم معنا يُلهم الآخرين بالالتزام.
positive nudge,شكراً يا name لكونك من عملائنا المتميزين الذين نعتز بهم.
positive nudge,شكراً يا name لاهتمامك وحرصك على الالتزام بمواعيدك.
positive nudge,شكراً يا name لأنك تشاركنا ثقافة الالتزام والاحترام للمواعيد.
positive nudge,"يا name، يسعدنا أن تكون جزءًا من مجتمعنا الملتزم والمنظم."
positive nudge,"يا name، نقدر دعمك المستمر وحرصك على الالتزام بالمواعيد."
positive nudge,نشكرك يا name لأنك دائمًا تبادر بالحضور في الوقت المحدد.
positive nudge,حضورك يا name المنتظم يلهم الآخرين أن يكونوا مثلك.
positive nudge,التزامك يا name بالمواعيد هو ما يجعلنا نمنحك الأفضل دائمًا.
positive nudge,نشكرك يا name على التزامك الدائم الذي يسهّل عمل الجميع.
positive nudge,"التزامك يا name ليس مجرد عادة، إنه أسلوب حياة."
positive nudge,التزامك يا name بالمواعيد يعكس وعيك واحترافيتك العالية.
positive nudge,"يا name، كل مرة تحضر فيها في الموعد، تُثبت أنك قدوة في الالتزام."
positive nudge,"يا name، لأنك دائم الالتزام، نعدك بخدمة أفضل وتجربة مميزة دائمًا."
positive nudge,حضورك يا name الدائم يجعلنا نمنحك أفضلية الحجز قبل الجميع.
positive nudge,"استمرارك يا name معنا هو سر تميزنا، استمتع بمكافأتك الجديدة."
positive nudge,"يا name، تم منحك إمكانية إعادة جدولة المواعيد في أي وقت، تقديرًا لالتزامك."
positive nudge,"يا name، لأنك شخص ملتزم لدينا، يمكنك الحجز في أي وقت يناسبك."
positive nudge,"حضورك يا name المستمر يعني أنك من عملائنا الأهم، استمتع بمرونة الحجز الكاملة."
positive nudge,"شكراً يا name لأنك تلتزم دائمًا، تمت إضافة نقاط تميّز إضافية إلى رصيدك."
positive nudge,"نراك يا name دائمًا في الموعد، ولهذا نمنحك حق اختيار المواعيد قبل الجميع."
positive nudge,التزامك يا name يمنحك حرية كاملة في اختيار المواعيد بدون قيود.
positive nudge,التزامك يا name المستمر يجعل حسابك في أعلى مستوى من الامتيازات.
positive nudge,استمرارك يا name معنا يجعلنا نضعك دائمًا في مقدمة الأولويات.
positive nudge,"شكراً لك يا name، أنت من العملاء الذين نعتز بثقتهم والتزامهم."
re-engagement,"نذكّرك يا name بموعدك القادم، حضورك هذه المرة مهم جداً."
re-engagement,"يا name، نثق أنك ستعود للالتزام اليوم، نراك في الموعد."
re-engagement,"يا name، دعنا نبدأ صفحة جديدة، حضورك اليوم يعني الكثير."
re-engagement,"يا name، هذه فرصتك للعودة إلى الالتزام، لا تفوتها."
re-engagement,"نعلم يا name أن الظروف قد تمنع أحيانًا، لكن حضورك اليوم يصنع فرقًا."
re-engagement,حضورك يا name في هذا الموعد سيساعدك في تنظيم مواعيدك المستقبلية.
re-engagement,"يا name، تذكير ودي، نأمل أن نراك في الوقت المحدد هذه المرة."
re-engagement,حضورك يا name اليوم يعكس حرصك على تحسين التزامك.
re-engagement,"يا name، لا تقلق بشأن الماضي، الأهم هو أن تحضر اليوم."
re-engagement,"يا name، هذه فرصة لإثبات التزامك من جديد، نثق بك."
re-engagement,حضورك يا name اليوم يعيد ترتيب جدولك للأفضل.
re-engagement,"يا name، نأمل أن تكون هذه المرة بداية جديدة أكثر التزامًا."
re-engagement,"يا name، نقدر عودتك، ونأمل أن تستمر على هذا النهج."
re-engagement,"يا name، كل تأخير سابق يمكن تعويضه بالحضور اليوم."
re-engagement,"يا name، هذه المرة فرصتك لتغيير الانطباع السابق، نراك قريبًا."
re-engagement,حضورك يا name في الموعد اليوم يثبت جديتك في الالتزام.
re-engagement,التزامك يا name اليوم خطوة أولى نحو انتظام دائم.
re-engagement,حضورك يا name في الموعد يعني تقديرك لوقتك ووقتنا.
re-engagement,"نعلم يا name أنك تستطيع الالتزام هذه المرة، ننتظرك بثقة."
re-engagement,"يا name، كل حضور جديد هو بداية جديدة، نراك قريبًا بإذن الله."
re-engagement,حضورك يا name اليوم يُعيدك إلى فئة العملاء الموثوقين.
re-engagement,"يا name، الالتزام في الموعد القادم يعيد لك صلاحية الحجز في الأوقات المفضلة."
re-engagement,"يا name، بادر بالحضور في الموعد القادم لتستعيد ميزة الحجز المبكر تلقائيًا."
re-engagement,"يا name، كل حضور ناجح يلغي أي غياب سابق في صلاحية الحجز."
re-engagement,"نعلم يا name أنك حريص، والمواعيد المطلوبه تنتظرك بمجرد عودتك للالتزام."
re-engagement,التزامك يا name في الموعد القادم يعيد تفعيل الحجز المبكر والمواعيد المفضلة.
re-engagement,"يا name، بعض المواعيد أصبحت محجوزة، لكن حضورك القادم يعيد فتحها لحسابك."
re-engagement,"يا name، نثق أنك ستعود، ومع عودتك ستعود جميع امتيازاتك."
re-engagement,حضورك يا name القادم يرفع ترتيبك في النظام ويعيد لك الحجز في الأوقات الأفضل.
re-engagement,"يا name، غيابك السابق جعل بعض المواعيد محدودة مؤقتًا، لكن حضورك يعيدها."
